event_id,time,space,variable,speed,acc,duration
2210,9,2.033,Brake,10.765876,0.3349856,14
2210,10,1.514,Brake,25.536785,0.24568021,4
2210,10,2.127,Acceleration,6.5,0.26512626,9
2210,11,1.918,Brake,32.13465,0.23521014,14
2210,11,1.732,Brake,22.00994,0.36755815,13
2210,12,1.642,Brake,32.4391,0.22925079,14
2210,14,2.635,Acceleration,2.9778717,0.23735693,3
2210,14,2.639,Acceleration,4.51,0.23480245,3
2210,14,2.818,Acceleration,13.363333,0.53671074,18
2210,14,2.975,Acceleration,22.454273,0.22652435,18
2210,15,1.998,Brake,12.967521,0.3901594,14
2210,15,1.934,Acceleration,10.318237,0.25532836,3
2210,15,2.035,Acceleration,14.719871,0.22675264,6
2210,15,2.975,Acceleration,22.775154,0.22002062,18
2210,16,2.608,Acceleration,13.17513,0.28890166,8
2210,18,1.496,Brake,11.273332,0.36424336,5
2210,18,1.432,Acceleration,7.210122,0.27806026,4
2210,18,1.432,Acceleration,7.210122,0.2575926,1
2210,18,1.735,Acceleration,7.253667,0.24858852,3
2210,19,2.033,Brake,17.388529,0.5457082,14
2210,19,1.308,Brake,32.523113,0.31475243,14
2210,19,1.999,Brake,14.106001,0.33153245,9
2210,19,1.651,Acceleration,8.090584,0.27591527,6
2210,19,1.47,Brake,12.562667,0.45218748,6
2210,20,1.688,Brake,13.313333,0.45411366,14
2210,20,1.808,Acceleration,11.893889,0.2528443,13
2210,21,2.089,Acceleration,10.633105,0.342028,5
2210,21,2.153,Acceleration,5.5253043,0.26937282,5
2210,21,1.918,Acceleration,10.247667,0.31475243,6
2210,21,2.161,Acceleration,2.3055794,0.2792201,3
2210,22,1.951,Brake,10.659223,0.38399115,9
2210,22,2.207,Acceleration,10.009455,0.37882152,5
2210,22,2.207,Acceleration,10.009455,0.2961171,2
2210,22,2.201,Acceleration,7.929164,0.26039433,6
2210,23,2.417,Acceleration,6.1772766,0.24615632,4
2210,23,2.1,Brake,7.3051114,0.3157948,14
2210,23,1.56,Brake,26.892862,0.20923954,14
2210,23,2.462,Acceleration,4.8438487,0.24952966,4
2210,24,2.508,Acceleration,5.410724,0.30211875,5
2210,24,2.455,Acceleration,5.662405,0.25855616,5
2210,24,1.951,Brake,5.2503533,0.5031027,11
2210,24,2.553,Acceleration,2.425817,0.28054342,4
2210,25,2.818,Acceleration,15.453075,0.4034787,5
2210,25,2.581,Acceleration,5.3513374,0.34914988,5
2210,25,2.682,Acceleration,10.649086,0.28368363,6
2210,25,2.691,Acceleration,10.649086,0.2770374,2
2210,26,1.77,Acceleration,10.393333,0.32936838,7
2210,26,2.773,Acceleration,16.112333,0.24000123,6
2210,26,1.807,Brake,8.03,0.3426247,14
2210,26,2.773,Acceleration,16.112333,0.21982267,11
2210,26,1.552,Brake,31.401594,0.23098822,14
2210,26,0.184,Acceleration,31.45894,0.18225537,3
2210,27,1.004,Acceleration,34.679688,0.18005534,2
2210,27,1.47,Brake,25.990005,0.5296686,12
2310,3,1.414,Acceleration,34.633335,0.13260105,9
2310,3,2.1,Acceleration,31.223333,0.2024645,11
2310,6,2.761,Brake,23.847483,0.30978164,9
2310,6,2.789,Brake,27.533335,0.28042197,12
2310,11,2.761,Brake,34.33247,0.35543516,14
2310,11,2.516,Brake,34.33247,0.34041646,3
2310,15,1.736,Acceleration,24.620146,0.18795435,2
2310,19,2.5,Brake,29.019648,0.33599105,14
2310,19,2.407,Brake,27.978487,0.4067582,4
2310,22,2.407,Brake,28.263798,0.37354696,14
2310,23,2.77,Acceleration,15.609878,0.2922186,4
2310,24,2.273,Acceleration,25.826815,0.17489398,2
2310,24,2.342,Brake,25.13714,0.79125845,14
2310,24,2.313,Brake,21.830416,0.891978,5
2310,24,2.535,Acceleration,18.276485,0.3915085,5
2310,27,1.469,Acceleration,28.30597,0.19187996,3
2310,28,1.901,Brake,24.060995,0.5001185,4
2310,28,1.966,Brake,20.077436,0.64963645,14
2310,28,2.498,Acceleration,4.8127594,0.321679,7
2310,28,2.089,Brake,6.956057,0.3158343,7
2310,28,2.573,Acceleration,4.0846953,0.27764237,15
2410,2,1.362,Brake,36.69011,0.4196698,14
2410,2,1.363,Brake,18.83889,0.43642545,11
